Floor	Wing	Room Door	Preliminary	Collection1	Collection2	Collection3	Collection4	Collection5	Collection6	Collection7	Collection8	Collection9
1B	C	C1B90	1	1	1	1	1	1	1	1	1	1
1B	D	D1B50	1	1	1	1	1	1	1	1	1	1
1B	D	D1B61	1	1	1	1	1	1	1	1	1	1
1B	D	D1B62	1	1	1	1	1	1	1	1	1	1
1B	D	D1B63	1	1	1	1	1	1	1	1	1	1
1B	D	D1B75	1	1	1	1	1	1	1	1	1	1
1B	D	D1B80	1	1	1	1	1	1	1	1	1	1
1B	E	E1B30	1	1	1	1	1	1	1	1	1	1
1B	E	E1B51	1	1	1	1	1	1	1	1	1	1
1B	E	E1B64	1	1	1	1	1	1	1	1	1	1
1	C	C150	1	1	1	1	1	0	1	1	0	1
1	C	C151	1	1	1	1	1	1	1	1	1	1
1	C	C155	1	1	1	1	1	1	1	1	1	1
1	C	C165	1	1	1	1	1	1	1	1	1	1
1	C	C170	1	1	1	1	1	1	1	1	1	1
1	C	C175	1	1	1	1	1	1	1	1	1	1
1	C	C180	1	1	1	1	1	1	1	1	1	1
1	D	D150	1	1	1	1	1	1	1	1	1	1
1	D	D155	1	1	1	1	1	1	1	1	1	1
1	D	D165	1	1	1	1	1	1	1	1	1	1
1	D	D166	1	1	1	1	1	1	1	1	1	1
1	D	D176	1	1	1	1	1	1	1	1	1	1
1	D	D179	1	1	1	1	1	1	1	1	1	1
1	E	E130 (main)	1	1	1	1	1	1	1	1	1	1
2	A	A250	1	1	1	1	1	1	1	1	1	1
2	A	A255	1	1	1	1	1	1	1	1	1	1
2	A	A256	1	0	1	1	1	1	1	0	1	1
2	A	A261	1	1	1	1	1	1	1	1	1	1
2	A	A280	1	1	1	1	1	1	1	1	1	1
2	A	A285	1	1	1	1	1	1	1	1	1	1
2	B	B250	1	1	1	1	1	1	1	1	1	1
2	B	B255A	1	1	0	0	0	1	1	1	1	1
2	B	B265	1	1	1	1	1	1	1	1	1	1
2	B	B280	1	1	1	1	1	1	1	1	1	1
2	B	B281	1	1	1	1	1	1	1	1	1	1
2	C	C250	1	1	1	0	0	0	1	0	1	0
2	C	C255	1	1	1	1	1	1	1	1	1	1
2	C	C258	1	1	1	1	1	1	1	1	1	1
2	C	C271	1	1	1	1	1	1	1	1	1	1
2	C	C280	1	1	1	1	1	1	1	1	1	1
2	D	D251	1	1	1	1	1	1	1	1	1	1
2	D	D252	1	1	1	0	1	0	1	0	1	1
2	D	D260	1	1	1	1	1	1	1	1	1	1
2	D	D280	1	1	1	1	1	1	1	1	1	1
2	D	D281	1	1	1	1	1	1	1	1	1	1
2	E	E251 (main)	1	1	1	1	1	1	1	1	1	1
3	A	A351	1	1	1	1	1	1	1	1	1	1
3	A	A354	1	1	1	0	1	1	1	1	0	0
3	A	A359	1	1	1	1	1	1	1	0	1	1
3	A	A368	1	1	1	1	1	1	1	1	1	1
3	A	A390	1	1	1	1	1	1	1	1	1	1
3	A	A391	0	1	1	0	0	0	0	0	0	0
3	B	B350	1	1	1	1	1	1	1	1	1	1
3	B	B355	1	1	1	0	0	0	0	0	0	0
3	B	B360	1	1	1	1	1	1	1	1	1	1
3	B	B380	0	1	1	1	1	1	1	0	0	0
3	B	B381	1	1	1	1	1	1	1	1	1	1
3	C	C350	0	1	1	1	1	1	1	1	0	1
3	C	C351	1	1	1	1	1	1	1	1	1	1
3	C	C355	0	0	1	1	1	1	0	0	0	0
3	C	C370	1	1	1	1	1	0	1	1	1	1
3	C	C380	1	1	1	1	1	1	1	1	1	1
3	C	C381	1	1	1	1	1	0	1	1	1	1
3	D	D353	1	1	1	1	1	1	1	1	1	1
3	D	D354	1	1	1	1	1	1	1	1	1	1
3	D	D370	1	1	1	1	1	1	1	1	1	1
3	D	D380	1	1	1	1	1	1	1	1	1	1
3	D	D381	1	1	1	1	1	1	1	1	0	0
4	A	A450	1	1	1	1	1	1	1	1	1	1
4	A	A453	1	1	1	1	1	1	1	1	1	1
4	A	A454	1	1	1	1	1	1	1	1	1	1
4	B	B450	1	1	1	1	1	1	1	1	1	1
4	B	B451	0	0	0	1	1	1	1	1	0	1
4	B	B455	1	0	1	1	1	1	1	1	1	1
4	B	B469	0	0	1	1	1	1	0	0	0	0
4	B	B480	0	1	0	1	1	0	1	1	1	1
4	B	B481	0	0	0	0	0	0	0	0	0	0
